timestamp,percentage
2026-01-16 13:58:26,63
2026-01-16 13:59:27,62
2026-01-16 14:00:27,61
2026-01-16 14:01:27,60
2026-01-16 14:02:27,59
2026-01-16 14:03:27,58
2026-01-16 14:04:27,57
2026-01-16 14:05:27,56
2026-01-16 14:06:27,55
2026-01-16 14:07:27,54
2026-01-16 14:08:27,52
2026-01-16 14:09:27,51
2026-01-16 14:10:14,51
2026-01-16 14:11:14,50
2026-01-16 14:12:14,49
2026-01-16 14:13:14,49
2026-01-16 14:14:14,48
2026-01-16 14:15:14,47
2026-01-16 14:16:14,47
2026-01-16 14:17:14,46
2026-01-16 14:18:14,46
2026-01-16 14:19:14,45
2026-01-16 14:20:14,45
2026-01-16 14:21:14,44
2026-01-16 14:22:14,43
2026-01-16 14:23:14,43
2026-01-16 14:24:14,42
2026-01-16 14:25:14,41
